ID,Name,Sex,Age,Height,Weight,Team,NOC,Year,City,Sport,Medal
52639,Franz Isser,M,31.0,177.0,78.0,Austria-2,AUT,1964,Innsbruck,Bobsleigh,Bronze
92465,Krystyna Stanisawa Paka (-Guzik),F,30.0,165.0,59.0,Poland,POL,2014,Sochi,Biathlon,Gold
83261,Svend Aage Munck,M,25.0,,,Denmark,DEN,1924,Paris,Fencing,Gold
45125,Stephane-Joseph Halot,M,,,,Belgium-4,BEL,1920,Antwerpen,Tennis,Silver
78220,Arthur Meier,M,23.0,,,Liechtenstein,LIE,1948,Sankt Moritz,Cross Country Skiing,Bronze
22227,Willem Coertzen,M,29.0,186.0,79.0,South Africa,RSA,2012,London,Athletics,Gold
46121,Pierre A. Harper,M,27.0,183.0,75.0,Great Britain,GBR,1984,,Fencing,Gold
103348,Francesco Ruggero,M,19.0,,,Italy,ITA,1912,Stockholm,Athletics,Gold
84054,"Sachindra ""Sachin"" Nag",M,28.0,,,India,IND,1948,London,Water Polo,Bronze
135228,Epke Jan Zonderland,M,26.0,173.0,69.0,Netherlands,NED,2012,London,Gymnastics,Silver
110195,Odiah Sidib (-Khomiakoff),F,26.0,177.0,67.0,France,FRA,1996,Atlanta,Athletics,Silver
88246,Edmundo Ohaco Montier,M,26.0,193.0,83.0,Chile,CHI,1952,Helsinki,Athletics,Gold
20382,Cheng Wen-Hsing,F,26.0,166.0,63.0,Chinese Taipei,TPE,2008,Beijing,Badminton,Bronze
18734,Stefano Casali,M,17.0,180.0,65.0,San Marino,SMR,1980,Moskva,Athletics,Gold
43304,Mladen Gruji,M,22.0,,,Yugoslavia,YUG,1992,Albertville,Biathlon,Silver
50909,Fritz Huhn,M,27.0,168.0,65.0,Germany,GER,1928,Amsterdam,Athletics,Silver
101657,David Rodman,M,30.0,185.0,83.0,Slovenia,SLO,2014,Sochi,Ice Hockey,Bronze
52072,Noriko Inada,F,13.0,167.0,60.0,Japan,JPN,1992,Barcelona,Swimming,Silver
77212,Samuel Mbugua,M,26.0,173.0,60.0,Kenya,KEN,1972,Munich,Boxing,Silver
93668,Erika Kristina Persson-Nordlander,F,27.0,174.0,73.0,Sweden,SWE,1996,Atlanta,Archery,Silver
37153,"Xaver Frick, Jr.",M,22.0,176.0,64.0,Liechtenstein,LIE,1968,Mexico City,Athletics,Bronze
54581,Jeong Seon-Yong,F,21.0,,,South Korea,KOR,1992,,Judo,Silver
95253,Irne Pittelioen (-Eggremont),F,25.0,,,France,FRA,1952,Helsinki,Gymnastics,Gold
130668,Shana L. Williams,F,28.0,178.0,58.0,United States,USA,2000,Sydney,Athletics,Silver
86610,Benson Gicharu Njangiru,M,31.0,168.0,56.0,Kenya,KEN,2016,Rio de Janeiro,Boxing,Gold
21843,Hazel Mae Clark-Riley,F,26.0,178.0,55.0,United States,USA,2004,Athina,Athletics,Silver
88626,"Bertram ""Bert"" Oldershaw",M,35.0,,,Canada,CAN,1956,Melbourne,Canoeing,Bronze
79979,"Leslie Roy ""Les"" Mills",M,37.0,188.0,121.0,New Zealand,NZL,1972,Munich,Athletics,Bronze
11147,Ina Beyermann,F,23.0,170.0,60.0,West Germany,FRG,1988,Seoul,Swimming,Bronze
44105,Gunvor Margareta Gustafsson,F,33.0,162.0,55.0,Sweden,SWE,1984,Los Angeles,Shooting,Bronze
56568,Nina Kadeva-Klenovska,F,25.0,174.0,61.0,Bulgaria,BUL,2006,Torino,Biathlon,Silver
102749,Eugenio Rossi,M,24.0,192.0,75.0,San Marino,SMR,2016,Rio de Janeiro,Athletics,Bronze
56030,Andr Ren Jousseaum,M,61.0,,,France,FRA,1956,Stockholm,Equestrianism,Silver
17676,Benit Campargue,M,27.0,170.0,67.0,France,FRA,1992,Barcelona,Judo,Silver
112862,Jerzy Micha Solarz,M,22.0,170.0,64.0,Poland,POL,1952,Helsinki,Gymnastics,Bronze
110681,Atanas Simidchiev,M,24.0,168.0,60.0,Bulgaria,BUL,1988,Calgary,Cross Country Skiing,Bronze
22025,"Jonathan Thomas ""Jon"" Cleveland",M,21.0,178.0,73.0,Canada,CAN,1992,Barcelona,Swimming,Gold
75867,"Angelina L. ""Angel"" Martino (Myers-, -Sims)",F,29.0,165.0,68.0,United States,USA,1996,Atlanta,Swimming,Bronze
34731,"Jan Danil ""Daan"" Ferman",M,19.0,,,Netherlands,NED,1928,Amsterdam,Rowing,Bronze
67730,"Matthew Hawks ""Matt"" LeCroy",M,20.0,185.0,102.0,United States,USA,1996,Atlanta,Baseball,Bronze
62839,Ihor Oleksiyovych Korobchinskiy,M,22.0,168.0,64.0,Unified Team,EUN,1992,Barcelona,Gymnastics,Bronze
71550,Giulia Lorenzoni,F,28.0,166.0,57.0,Italy,ITA,1968,,Fencing,Gold
56730,Iakob Kajaia,M,22.0,187.0,130.0,Georgia,GEO,2016,Rio de Janeiro,Wrestling,Bronze
93175,Ettore Perego,M,35.0,,,Italy,ITA,1948,London,Gymnastics,Bronze
124729,Robert Van Lancker,M,20.0,173.0,74.0,Belgium,BEL,1968,Mexico City,Cycling,Gold
3482,Thongdy Amnouayphone,M,19.0,165.0,60.0,Laos,LAO,1996,Atlanta,Athletics,Bronze
121287,Leilani Torres Maldonado,F,24.0,176.0,67.0,Puerto Rico,PUR,2004,Athina,Synchronized Swimming,Silver
8630,Kerry Battersby (-Agg),F,15.0,163.0,52.0,Australia,AUS,1984,Los Angeles,Gymnastics,Gold
56398,Peter Jurko,M,24.0,,,Czechoslovakia,TCH,1992,Albertville,Alpine Skiing,Silver
128002,"Jennifer Dorothy June ""Jenn"" Wakefield",F,24.0,175.0,77.0,Canada,CAN,2014,Sochi,Ice Hockey,Gold
115759,Oleksandr Serhiyovych Stretskiy,M,22.0,181.0,69.0,Ukraine,UKR,2008,Beijing,Boxing,Silver
25618,Emma Davies (-Jones),F,25.0,177.0,66.0,Great Britain,GBR,2004,Athina,Cycling,Silver
35351,Sergey Pavlovich Filippov,M,18.0,174.0,72.0,Russia,RUS,1912,Stockholm,Football,Silver
54513,Jeong Dae-Yeong,F,22.0,183.0,68.0,South Korea,KOR,2004,Athina,Volleyball,Bronze
52809,Ivan Ivanov Ivanov,M,24.0,155.0,54.0,Bulgaria,BUL,1996,Atlanta,Weightlifting,Gold
124483,Adolf Dirk Coenraad van der Voort van Zijp,M,35.0,,,Netherlands,NED,1928,Amsterdam,Equestrianism,Silver
120321,Viktor Vasilyevich Tikhonov,M,25.0,185.0,77.0,Russia,RUS,2014,Sochi,Ice Hockey,Bronze
79573,Aneta Mihaly (-Marin),F,26.0,178.0,77.0,Romania,ROU,1984,Los Angeles,Rowing,Bronze
113210,Chainarong Sophonpong,M,24.0,166.0,62.0,Thailand,THA,1968,Mexico City,Cycling,Bronze
114318,Innozenz Stangl,M,25.0,,,Germany,GER,1936,Berlin,Gymnastics,Bronze
134260,Christian Zeitz,M,23.0,185.0,86.0,Germany,GER,2004,Athina,Handball,Gold
50359,Dara Howell,F,19.0,170.0,58.0,Canada,CAN,2014,Sochi,Freestyle Skiing,Gold
15348,Paul Bronner,M,23.0,,,France,FRA,1936,Berlin,Athletics,Bronze
133802,Ameen Zakkar,M,22.0,195.0,100.0,Qatar,QAT,2016,Rio de Janeiro,Handball,Bronze
130113,Rosemarie Whyte,F,21.0,174.0,65.0,Jamaica,JAM,2008,Beijing,Athletics,Gold
22162,"Leroy Braxton ""Roy"" Cochran",M,29.0,178.0,70.0,United States,USA,1948,London,Athletics,Gold
106988,Willy Bruno Ewald Schlokat,M,29.0,170.0,82.0,Germany,GER,1928,Amsterdam,Athletics,Gold
82713,Saul Moyal,M,,,,Egypt,EGY,1928,Amsterdam,Fencing,Silver
81673,Melissa Moore (-Medlicott),F,24.0,166.0,60.0,Australia,AUS,1992,Barcelona,Athletics,Gold
6280,Kayum Ayub,M,21.0,176.0,78.0,Afghanistan,AFG,1968,Mexico City,Wrestling,Bronze
20864,Kefasi Chitsala,M,22.0,170.0,63.0,Malawi,MAW,2016,Rio de Janeiro,Athletics,Bronze
62849,Shinzo Koroki,M,30.0,175.0,72.0,Japan,JPN,2016,Rio de Janeiro,Football,Gold
19753,Chang Chunfeng,F,20.0,180.0,78.0,China,CHN,2008,Beijing,Athletics,Bronze
2120,Omar Al-Sabahi Muhammad Muhammad Emira,M,35.0,174.0,73.0,Egypt,EGY,2012,London,Rowing,Silver
11969,Al. Blachre,M,,,,France,FRA,1900,Paris,Croquet,Gold
4607,"Kaarlo Johan Jalmari ""Kalle"" Anttila",M,32.0,167.0,64.0,Finland,FIN,1920,Antwerpen,Wrestling,Gold
11854,Klaus Bittner,M,25.0,181.0,85.0,Germany,GER,1964,Tokyo,Rowing,Silver
50730,"Victoria Lyn ""Vicki"" Huber",F,21.0,168.0,54.0,United States,USA,1988,Seoul,Athletics,Silver
134062,Marina Aleksandrovna Zarzhitskaya,F,18.0,156.0,46.0,Belarus,BLR,2000,Sydney,Gymnastics,Silver
100566,Helen Richardson-Walsh,F,30.0,165.0,55.0,Great Britain,GBR,2012,London,Hockey,Silver
106401,Irina Sazonova,F,24.0,160.0,55.0,Iceland,ISL,2016,Rio de Janeiro,Gymnastics,Silver
114476,Raymond Ren Fritz Armand Marie Jules Stasse,M,35.0,,,Belgium,BEL,1948,London,Fencing,Gold
34095,Brian A. Farlow,M,19.0,185.0,75.0,United States Virgin Islands,ISV,1984,Los Angeles,Swimming,Silver
132942,Nina Aleksandrovna Yevteyeva,F,27.0,176.0,65.0,Russia,RUS,2010,Vancouver,Short Track Speed Skating,Gold
25512,Georges Clestin Daunis,M,21.0,,,France,FRA,1900,Paris,Athletics,Bronze
115342,Martin Stoyanov Stoev,M,24.0,189.0,84.0,Bulgaria,BUL,1996,Atlanta,Volleyball,Silver
90223,"Gerald ""Ger"" Owens",M,33.0,176.0,60.0,Ireland,IRL,2012,London,Sailing,Silver
40477,Ilia Giorgadze,M,18.0,168.0,70.0,Georgia,GEO,1996,Atlanta,Gymnastics,Gold
1540,Artur Surenovych Aivazian,M,31.0,177.0,88.0,Ukraine,UKR,2004,Athina,Shooting,Silver
28690,Sergey Viktorovich Diomidov,M,21.0,172.0,72.0,Soviet Union,URS,1964,Tokyo,Gymnastics,Gold
7879,Erdal Barkay,M,20.0,,,Turkey,TUR,1948,London,Athletics,Bronze
95944,Gianfranco Polvara,M,30.0,170.0,62.0,Italy,ITA,1988,Calgary,Cross Country Skiing,Silver
69499,Li Ting,F,17.0,157.0,44.0,China,CHN,2004,Athina,Diving,Gold
8431,Muhammad Bashir,M,25.0,168.0,73.0,Pakistan,PAK,1960,Roma,Wrestling,Gold
111631,Sinia Skelin,M,22.0,196.0,92.0,Croatia,CRO,1996,Atlanta,Rowing,Silver
47512,David Hembrow,M,21.0,178.0,79.0,Great Britain,GBR,1968,Mexico City,Swimming,Gold
120847,"William ""Bill"" Tom",M,33.0,165.0,59.0,United States,USA,1956,Melbourne,Gymnastics,Silver
68189,"Willis Augustus Lee, Jr.",M,31.0,179.0,,United States,USA,1920,Antwerpen,Shooting,Gold
42737,"John Arthur ""Jack"" Gregory",M,25.0,,,Great Britain,GBR,1948,London,Athletics,Gold
132499,Yang Hongbing,F,33.0,167.0,65.0,China,CHN,2000,Sydney,Hockey,Silver
130974,Howard Wing,M,32.0,,,China,CHN,1948,London,Cycling,Silver
89490,Hlder Mendes Abreu Ornelas,M,26.0,176.0,64.0,Portugal,POR,2000,Sydney,Athletics,Silver
48218,"Francisco Jos ""Kiko"" Hervs Jodar",M,26.0,167.0,60.0,Spain,ESP,2008,Beijing,Swimming,Gold
5989,Gaston Achille Louis Aumoitte,M,15.0,,,France,FRA,1900,Paris,Croquet,Bronze
23451,Shaun Coulton,M,24.0,191.0,94.0,Australia,AUS,2004,Athina,Rowing,Gold
100689,Ivan Rieder,M,25.0,180.0,69.0,Switzerland,SUI,2002,Salt Lake City,Nordic Combined,Gold
123757,Gennady Viktorovich Vaganov,M,23.0,173.0,72.0,Soviet Union,URS,1960,Squaw Valley,Cross Country Skiing,Bronze
37612,Mihly Flp,M,24.0,180.0,73.0,Hungary,HUN,1960,Roma,Fencing,Gold
27153,Enrique del Valle,M,17.0,171.0,63.0,Ecuador,ECU,1976,Montreal,Judo,Silver
41849,Elisabeth Grgl,F,32.0,167.0,66.0,Austria,AUT,2014,Sochi,Alpine Skiing,Bronze
2755,Aleksey Aleksandrovich Alipov,M,36.0,175.0,80.0,Russia,RUS,2012,London,Shooting,Silver
112618,Pedro Nuno de Almeida Soares,M,26.0,190.0,100.0,Portugal,POR,2000,Sydney,Judo,Gold
74513,"Aulis Olavi ""Ollie"" Manninen",M,31.0,172.0,68.0,United States,USA,1948,London,Athletics,Bronze
27912,Daniel Deuer,M,34.0,190.0,76.0,Germany,GER,2016,Rio de Janeiro,Equestrianism,Bronze
58015,Jzsef Katona,M,23.0,176.0,76.0,Hungary,HUN,1964,Tokyo,Swimming,Bronze
15793,Capel Howard Molyneux Brunker,M,25.0,,,Great Britain,GBR,1924,Paris,Equestrianism,Gold
110631,Macarena Mara Simari Birkner,F,17.0,168.0,60.0,Argentina,ARG,2002,Salt Lake City,Alpine Skiing,Gold
98143,Peter Frank Radford,M,20.0,180.0,61.0,Great Britain,GBR,1960,Roma,Athletics,Gold
125741,Iliya Krastev Velchev,M,27.0,,,Bulgaria,BUL,1952,Helsinki,Cycling,Bronze
124843,"Hendrik Mattheas Michael ""Harry"" van Rappard",M,22.0,,,Netherlands,NED,1920,Antwerpen,Athletics,Bronze
106372,Habib Zareef Sayed,M,23.0,170.0,58.0,Afghanistan,AFG,1960,Roma,Athletics,Silver
8662,Sabine Christiane Bau,F,23.0,180.0,66.0,Germany,GER,1992,Barcelona,Fencing,Gold
10475,Per Bergerud,M,27.0,183.0,73.0,Norway,NOR,1984,Sarajevo,Ski Jumping,Gold
44875,Alfrd (Arnold-) Hajs (Guttmann-),M,46.0,,,Hungary,HUN,1924,Paris,Art Competitions,Silver
43206,Domenico Grosso,M,26.0,,,Italy,ITA,1948,London,Gymnastics,Gold
46707,Petre Havale,M,27.0,,,Romania,ROU,1936,,Athletics,Gold
106433,Massimo Scali,M,30.0,172.0,56.0,Italy-1,ITA,2010,Vancouver,Figure Skating,Bronze
82467,"Carlos ""Mosquito"" Domingos Massoni",M,25.0,178.0,80.0,Brazil,BRA,1964,Tokyo,Basketball,Bronze
126116,David Verraszt,M,27.0,180.0,78.0,Hungary,HUN,2016,Rio de Janeiro,Swimming,Bronze
44905,Jay William Hakkinen,M,32.0,183.0,75.0,United States,USA,2010,Vancouver,Biathlon,Gold
41317,Juan Carlos Gmez,M,36.0,179.0,82.0,Argentina,ARG,1968,,Rowing,Bronze
75830,Ricardo Tadeo Martnez,M,20.0,,,El Salvador,ESA,1968,Mexico City,Football,Silver
75019,Martin Mari,M,28.0,198.0,112.0,Croatia,CRO,2012,London,Athletics,Bronze
32289,Alexander Eliraz,M,37.0,,,Israel,ISR,1952,Helsinki,Shooting,Bronze
92784,Sreko Pejovi,M,27.0,177.0,82.0,Yugoslavia,YUG,1980,Moskva,Shooting,Bronze
131815,Wu Ritubilige,M,20.0,164.0,66.0,China,CHN,2008,Beijing,Judo,Gold
25684,"Eugene Lee ""Gene"" Davis",M,26.0,168.0,61.0,United States,USA,1972,Munich,Wrestling,Bronze
30710,Barry Frank Dunning,M,26.0,173.0,70.0,Great Britain,GBR,1972,Munich,Sailing,Gold
10195,Marc Alexander Benninga,M,27.0,170.0,66.0,Netherlands,NED,1988,,Hockey,Silver
63800,Betislav Krtk,M,24.0,,,Czechoslovakia,TCH,1936,Berlin,Athletics,Silver
75660,Leah Simone Martindale (-Stancil),F,22.0,181.0,76.0,Barbados,BAR,2000,Sydney,Swimming,Bronze
15977,Ji Bubla,M,30.0,175.0,89.0,Czechoslovakia,TCH,1980,Lake Placid,Ice Hockey,Gold
8821,Otto Thomas Bauscher,M,27.0,,,Great Britain,GBR,1908,London,Gymnastics,Silver
32436,"Rafael Robert Christopher ""Ralf"" Elshof",M,22.0,189.0,78.0,Netherlands,NED,1984,,Cycling,Bronze
128748,Avril Jocelyn Wardrop-Moore (-Murray),F,23.0,,,Great Britain,GBR,1956,Cortina d'Ampezzo,Alpine Skiing,Bronze
127114,Siegfried Voigt,M,29.0,183.0,77.0,East Germany,GDR,1980,Moskva,Handball,Bronze
57158,Yvonne Kanazawa (Scott-),F,25.0,173.0,63.0,Japan,JPN,2000,Sydney,Athletics,Bronze
41153,Jrn Irving Goldstein,M,30.0,177.0,77.0,Norway,NOR,1984,Sarajevo,Ice Hockey,Gold
94334,Robert Matthew Pfarr,M,40.0,179.0,72.0,United States,USA,1960,Roma,Cycling,Bronze
16065,Lubomr Buchta,M,26.0,194.0,87.0,Czech Republic,CZE,1994,Lillehammer,Cross Country Skiing,Bronze
66392,Istvn Lang,M,19.0,,,Hungary,HUN,1952,Helsinki,Cycling,Bronze
118132,Curt Staffan Tllberg,M,23.0,184.0,69.0,Sweden,SWE,1994,Lillehammer,Ski Jumping,Gold
53870,Gilles Jaquet,M,23.0,181.0,84.0,Switzerland,SUI,1998,Nagano,Snowboarding,Gold
117144,Joel Swift,M,26.0,190.0,103.0,Australia,AUS,2016,Rio de Janeiro,Water Polo,Silver
49757,Jenni Honkanen-Mikkonen,F,32.0,174.0,66.0,Finland,FIN,2012,London,Canoeing,Bronze
7796,Miroslav Bark,M,22.0,174.0,68.0,Slovakia,SVK,2000,Sydney,Football,Gold
99576,Raffaella Reggi-Concato,F,22.0,173.0,56.0,Italy,ITA,1988,Seoul,Tennis,Bronze
121935,Oliver Geoffrey Trinder,M,28.0,,,Great Britain,GBR,1936,Berlin,Fencing,Bronze
5184,rni Mr rnason,M,24.0,194.0,85.0,Iceland,ISL,2012,London,Swimming,Bronze
123045,Milagros Jessenica Uceda,F,19.0,175.0,69.0,Peru,PER,2000,Sydney,Volleyball,Gold
111904,Simon Kaurin Slttvik,M,34.0,,,Norway,NOR,1952,Oslo,Cross Country Skiing,Bronze
106423,"Mohamed Karim ""Moe"" Sbihi",M,28.0,202.0,110.0,Great Britain,GBR,2016,Rio de Janeiro,Rowing,Bronze
46419,Louis Hasenknopf,M,37.0,,,Austria,AUT,1928,Sankt Moritz,Skeleton,Bronze
16792,Bianka Bua,F,22.0,187.0,74.0,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Bronze
94088,Nikolaos Petropoulos,M,,,,Omilos Ereton Smyrnis,GRE,1906,Athina,Rowing,Gold
7101,"Ani Stoyanova ""Anka"" Bakova",F,23.0,175.0,75.0,Bulgaria,BUL,1980,,Rowing,Bronze
62014,Jos Luis Koifman,M,21.0,,,Chile,CHI,1976,Innsbruck,Alpine Skiing,Gold
109867,Keiji Shirahata,M,28.0,168.0,68.0,Japan,JPN,2002,,Speed Skating,Bronze
134087,Irna auna,F,19.0,179.0,59.0,Latvia,LAT,2000,Sydney,Athletics,Silver
62839,Ihor Oleksiyovych Korobchinskiy,M,22.0,168.0,64.0,Unified Team,EUN,1992,Barcelona,Gymnastics,Bronze
133680,Igor Vladimirovich Zagoruyko,M,33.0,188.0,87.0,Kazakhstan,KAZ,2004,Athina,Water Polo,Gold
4652,Norichika Aoki,M,26.0,175.0,80.0,Japan,JPN,2008,Beijing,Baseball,Bronze
133683,Pawe Zagrodnik,M,24.0,175.0,66.0,Poland,POL,2012,London,Judo,Gold
42828,Edwin Grienauer,M,39.0,,,Austria,AUT,1932,Los Angeles,Art Competitions,Silver
34246,Michel Fauconnet,M,18.0,,,Switzerland,SUI,1928,Amsterdam,Fencing,Silver
99020,Kyle A. Rasmussen,M,25.0,183.0,94.0,United States,USA,1994,Lillehammer,Alpine Skiing,Bronze
80061,Mohamed Hossain Milzer,M,21.0,174.0,65.0,Bangladesh,BAN,1988,Seoul,Athletics,Bronze
12026,Mauritius Amandus Ghislenus Maurice Van Bladel,M,34.0,,,Belgium,BEL,1920,Antwerpen,Art Competitions,Silver
82151,Shinji Morisue,M,27.0,170.0,66.0,Japan,JPN,1984,Los Angeles,Gymnastics,Gold
33966,Giovanni Fanello,M,21.0,167.0,69.0,Italy,ITA,1960,Roma,Football,Bronze
101182,Marian Rizan,M,25.0,163.0,62.0,Romania,ROU,1992,Barcelona,Gymnastics,Bronze
100825,Hilkka Maria Riihivuori-Kuntola,F,23.0,162.0,54.5,Finland,FIN,1976,Innsbruck,Cross Country Skiing,Gold
82446,Tatyana Sergeyevna Moskvina,F,31.0,154.0,48.0,Belarus,BLR,2004,Athina,Judo,Silver
61014,Kathrin Klaas,F,32.0,168.0,72.0,Germany,GER,2016,Rio de Janeiro,Athletics,Bronze
125193,Jnos Vradi,M,27.0,164.0,51.0,Hungary,HUN,1988,Seoul,Boxing,Bronze
78804,Ral Ebers Mera Pozzi,M,24.0,181.0,84.0,Uruguay,URU,1960,Roma,Basketball,Silver
65598,Antonio La Penna,M,23.0,186.0,100.0,Italy,ITA,1984,Los Angeles,Wrestling,Gold
131762,Wu Ah-Min,M,30.0,180.0,75.0,Chinese Taipei,TPE,1968,Mexico City,Athletics,Bronze
24659,Ruy Leme da Fonseca Filho,M,42.0,181.0,76.0,Brazil,BRA,2016,Rio de Janeiro,Equestrianism,Silver
123399,Hideo Urabe,M,24.0,174.0,77.0,Japan,JPN,1976,Innsbruck,Ice Hockey,Silver
106820,Herbert Schibukat,M,21.0,,,Germany,GER,1936,Garmisch-Partenkirchen,Ice Hockey,Gold
8776,Stefan Baumeister,M,20.0,173.0,72.0,Germany,GER,2014,Sochi,Snowboarding,Bronze
66413,Gheorghe Langa,M,26.0,169.0,60.0,Romania,ROU,1956,Stockholm,Equestrianism,Bronze
85570,Scott Newkirk,M,23.0,182.0,72.0,United States Virgin Islands,ISV,1984,,Swimming,Bronze
26699,Walmes Rangel de Souza,M,19.0,192.0,80.0,Brazil,BRA,1996,Atlanta,Athletics,Silver
66018,Kalevi Johannes Laitinen,M,30.0,,,Finland,FIN,1948,London,Gymnastics,Bronze
112720,Gustaf Fredrik Sderstrm,M,34.0,,,Sweden,SWE,1900,Paris,Athletics,Bronze
10278,Ji Beran,M,28.0,171.0,74.0,Czechoslovakia,TCH,1980,Lake Placid,Cross Country Skiing,Gold
5149,"Raymond Richard ""Ray"" Armstead",M,24.0,187.0,76.0,United States,USA,1984,Los Angeles,Athletics,Gold
17386,Ral Jlio de Almeida Pimenta Marques Caldeira,M,25.0,,,Portugal,POR,1952,Helsinki,Gymnastics,Silver
69260,"Steven James ""Steve"" Lewis",M,26.0,192.0,81.0,Great Britain,GBR,2012,London,Athletics,Gold
40001,Magdy Gheriani,M,21.0,,,Egypt,EGY,1952,Helsinki,Gymnastics,Silver
92358,Cristopher Joel Pavn Funes,M,19.0,173.0,95.0,Honduras,HON,2012,London,Weightlifting,Silver
8990,Patrizia Bazzi,F,15.0,155.0,43.0,Switzerland,SUI,1972,Munich,Gymnastics,Bronze
101076,Per-Erik Ritzn,M,25.0,179.0,72.0,Sweden,SWE,1960,,Modern Pentathlon,Bronze
90975,Kristina Dimitrova Panayotova,F,16.0,160.0,44.0,Bulgaria,BUL,1992,Barcelona,Gymnastics,Bronze
128959,"David Nicholas ""Dave"" Watson",M,21.0,182.0,73.0,Australia,AUS,1968,Mexico City,Cycling,Silver
103392,Emma Ruz Velsquez,F,26.0,157.0,54.0,Mexico,MEX,1948,London,Fencing,Bronze
18026,Adler Capelli,M,26.0,180.0,77.0,Italy,ITA,2000,Sydney,Cycling,Bronze
2250,Juan Alans Guerrero,M,18.0,177.0,70.0,Mexico,MEX,1964,Tokyo,Swimming,Bronze
